 "年/月","不含[雜項類]之總指數","雜項類指數"
"102/01","103.20","96.67"
"102/02","103.45","97.19"
"102/03","103.63","97.18"
"102/04","103.11","97.33"
"102/05","102.68","97.33"
"102/06","102.31","99.00"
"102/07","102.37","98.67"
"102/08","102.55","98.71"
"102/09","103.04","98.84"
"102/10","103.06","98.03"
"102/11","103.31","98.60"
"102/12","103.55","98.68"
"103/01","103.96","98.58"
"103/02","104.03","98.83"
"103/03","104.06","98.83"
"103/04","104.74","98.80"
"103/05","105.01","98.96"
"103/06","105.39","101.17"
"103/07","105.65","101.27"
"103/08","105.78","101.31"
"103/09","105.63","101.22"
"103/10","105.18","99.64"
"103/11","104.89","99.62"
"103/12","104.61","99.65"
"104/01","104.19","99.90"
"104/02","103.56","99.87"
"104/03","103.24","99.84"
"104/04","103.04","99.25"
"104/05","102.53","99.08"
"104/06","102.35","100.40"
"104/07","101.59","100.44"
"104/08","100.96","100.51"
"104/09","100.71","100.64"
"104/10","100.03","99.22"
"104/11","99.88","99.18"
"104/12","99.58","99.19"
"105/01","99.38","99.33"
"105/02","99.15","99.44"
"105/03","99.28","99.47"
"105/04","100.46","99.08"
"105/05","101.15","99.18"
"105/06","100.35","100.45"
"105/07","99.99","100.64"
"105/08","99.93","100.72"
"105/09","99.66","100.97"
"105/10","99.45","100.15"
"105/11","100.10","100.27"
"105/12","101.09","100.29"
"106/01","101.75","100.23"
"106/02","101.82","100.26"
"106/03","102.30","100.43"
"106/04","101.96","100.57"
"106/05","101.30","100.73"
"106/06","101.34","101.90"
"106/07","101.64","101.85"
"106/08","102.74","101.98"
"106/09","103.51","102.00"
"106/10","103.45","100.89"
"106/11","103.79","100.92"
"106/12","104.01","101.05"
"107/01","104.61","101.14"
"107/02","104.36","101.17"
"107/03","104.96","101.29"
"107/04","105.11","101.96"
"107/05","105.41","102.11"
"107/06","105.71","103.81"
"107/07","106.37","103.89"
"107/08","106.63","103.89"
"107/09","107.06","103.82"
"107/10","107.55","102.23"
"107/11","107.31","102.24"
"107/12","107.04","102.30"
"108/01","107.17","102.36"
"108/02","108.11","102.31"
"108/03","108.71","102.35"
"108/04","108.81","102.43"
"108/05","108.51","103.45"
"108/06","108.57","105.17"
"108/07","108.56","105.16"
"108/08","108.75","105.33"
"108/09","108.48","105.44"
"108/10","108.13","104.01"
"108/11","108.31","104.34"
"108/12","108.84","104.36"
"109/01","109.21","104.43"
"109/02","109.09","104.40"
"109/03","109.36","104.40"
"109/04","108.84","104.43"
"109/05","108.91","104.39"
"109/06","109.19","105.94"
"109/07","109.21","105.94"
"109/08","109.66","105.98"
"109/09","110.50","105.99"
"109/10","110.92","104.36"
"109/11","111.52","104.40"
"109/12","113.38","104.48"
"110/01","116.14","104.62"
"110/02","116.19","104.76"
"110/03","117.50","104.99"
"110/04","119.21","105.95"
"110/05","122.07","106.83"
"110/06","124.03","109.51"
"110/07","124.81","109.94"
"110/08","125.15","110.25"
"110/09","125.44","110.59"
"110/10","126.29","109.26"
"110/11","126.70","110.41"
"110/12","126.54","110.85"
"111/01","127.05","111.27"
"111/02","128.03","112.08"
"111/03","131.01","114.35"
"111/04","133.47","115.40"
