111/04,107.14
111/03,106.33
111/02,105.99
111/01,106
110/12,105.41
110/11,105.62
110/10,105.37
110/09,105.06
110/08,104.9
110/07,104.29
110/06,104.08
110/05,103.88
110/04,103.64
110/03,102.96
110/02,103.58
110/01,103.08
109/12,102.71
109/11,102.69
109/10,102.75
109/09,102.4
109/08,102.5
109/07,102.34
109/06,102.21
109/05,101.4
109/04,101.51
109/03,101.71
109/02,102.17
109/01,103.28
108/12,102.66
108/11,102.6
108/10,103.02
108/09,103
108/08,102.84
108/07,102.86
108/06,102.98
108/05,102.64
108/04,102.5
108/03,101.74
108/02,102.38
108/01,101.39
107/12,101.5
107/11,102.01
107/10,102.64
107/09,102.57
107/08,102.4
107/07,102.47
107/06,102.11
107/05,101.69
107/04,101.83
107/03,101.17
107/02,102.16
107/01,101.21
106/12,101.56
106/11,101.71
106/10,101.46
106/09,100.84
106/08,100.85
106/07,100.7
106/06,100.7
106/05,99.94
106/04,99.83
106/03,99.59
106/02,99.96
106/01,100.32
105/12,100.34
105/11,101.37
105/10,101.8
105/09,100.35
105/08,99.89
105/07,99.93
105/06,99.7
105/05,99.35
105/04,99.73
105/03,99.41
105/02,100.02
105/01,98.12
104/12,98.67
104/11,99.41
104/10,100.1
104/09,100.01
104/08,99.33
104/07,98.71
104/06,98.81
104/05,98.14
104/04,97.9
104/03,97.45
104/02,97.67
104/01,97.33
103/12,98.54
103/11,98.88
103/10,99.79
103/09,99.72
103/08,99.77
103/07,99.34
103/06,99.37
103/05,98.86
103/04,98.71
103/03,98.05
103/02,97.87
103/01,98.25
102/12,97.95
102/11,98.04
102/10,98.75
102/09,99.02
102/08,97.74
102/07,97.62
102/06,97.77
102/05,97.28
102/04,97.1
102/03,96.5
102/02,97.91
102/01,97.45
101/12,97.62
101/11,97.38
101/10,98.12
101/09,98.19
101/08,98.51
101/07,97.56
101/06,97.19
101/05,96.57
101/04,96.09
101/03,95.21
101/02,95.09
101/01,96.37
100/12,96.07
100/11,95.86
100/10,95.88
100/09,95.37
100/08,95.25
100/07,95.22
100/06,95.5
100/05,94.91
100/04,94.73
100/03,94.03
100/02,94.86
100/01,94.15
099/12,94.16
099/11,94.88
099/10,94.7
099/09,94.08
099/08,93.98
099/07,93.97
099/06,93.68
099/05,93.36
099/04,93.51
099/03,92.73
099/02,93.62
099/01,93.13
098/12,93.01
098/11,93.46
098/10,94.16
098/09,93.8
098/08,94.43
098/07,92.75
098/06,92.57
098/05,92.66
098/04,92.27
098/03,91.57
098/02,91.47
098/01,92.89
097/12,93.24
097/11,94.99
097/10,95.98
097/09,94.64
097/08,95.21
097/07,94.97
097/06,94.44
097/05,92.74
097/04,92.7
097/03,91.71
097/02,92.71
097/01,91.54
096/12,92.08
096/11,93.19
096/10,93.74
096/09,91.79
096/08,90.95
096/07,89.76
096/06,89.97
096/05,89.42
096/04,89.24
096/03,88.22
096/02,89.26
096/01,88.92
095/12,89.11
095/11,88.92
095/10,89
095/09,89.02
095/08,89.51
095/07,90.05
095/06,89.85
095/05,89.44
095/04,88.63
095/03,87.48
095/02,87.73
095/01,88.61
