,wage,educ,exper,tenure,nonwhite,female,married,numdep,smsa,northcen,south,west,construc,ndurman,trcommpu,trade,services,profserv,profocc,clerocc,servocc,lwage,expersq,tenursq
1,3.099999905,11,2,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1.131402135,4,0
2,3.24000001,12,22,2,0,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1,1.175573349,484,4
3,3,11,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1.098612309,4,0
4,6,8,44,28,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.791759491,1936,784
5,5.300000191,12,7,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.667706847,49,4
6,8.75,16,9,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2.169053793,81,64
7,11.25,18,15,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2.420368195,225,49
8,5,12,5,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.609437943,25,9
9,3.599999905,12,26,4,0,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1.280933857,676,16
10,18.18000031,17,22,21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.900322199,484,441
11,6.25,16,8,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1.83258152,64,4
12,8.130000114,13,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2.095561028,9,0
13,8.770000458,12,15,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2.171336889,225,0
14,5.5,12,18,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.704748034,324,9
15,22.20000076,12,31,15,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,3.100092411,961,225
16,17.32999992,16,14,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2.852439165,196,0
17,7.5,12,10,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2.014903069,100,0
18,10.63000011,13,16,10,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2.363680124,256,100
19,3.599999905,12,13,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1.280933857,169,0
20,4.5,12,36,6,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1.504077435,1296,36
21,6.880000114,12,11,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1.92861867,121,16
22,8.479999542,12,29,13,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2.137710333,841,169
23,6.329999924,16,9,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.845300198,81,81
24,0.529999971,12,3,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,-0.634878337,9,1
25,6,11,37,8,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1.791759491,1369,64
26,9.56000042,16,3,3,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,2.257587671,9,9
27,7.78000021,16,11,10,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2.051556349,121,100
28,12.5,16,31,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.525728703,961,0
29,12.5,15,30,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,2.525728703,900,0
30,3.25,8,9,1,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1.178655028,81,1
31,13,14,23,5,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,2.564949274,529,25
32,4.5,14,2,5,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1.504077435,4,25
33,9.680000305,13,16,16,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.27006197,256,256
34,5,12,7,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.609437943,49,9
35,4.679999828,12,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1.543298125,9,0
36,4.269999981,16,22,4,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1.451613784,484,16
37,6.150000095,12,15,6,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1.816452146,225,36
38,3.50999999,4,39,15,0,0,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0,1.255616069,1521,225
39,3,14,3,3,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1.098612309,9,9
40,6.25,12,11,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1.83258152,121,0
41,7.809999943,12,3,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2.055404902,9,0
42,10,12,20,5,1,1,1,4,1,0,0,1,0,0,0,0,0,1,0,1,0,2.302585125,400,25
43,4.5,14,16,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1.504077435,256,0
44,4,11,45,12,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1.386294365,2025,144
45,6.380000114,13,11,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.85316813,121,16
46,13.69999981,15,20,13,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,2.617395878,400,169
47,1.669999957,10,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0.512823582,1,0
48,2.930000067,12,36,2,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1.075002432,1296,4
49,3.650000095,14,9,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1.294727206,81,4
50,2.900000095,12,15,1,0,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1.064710736,225,1
51,1.629999995,12,18,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0.488580018,324,0
52,8.600000381,16,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.151762247,9,4
53,5,12,15,5,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1.609437943,225,25
54,6,12,7,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.791759491,49,49
55,2.5,12,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91629076,4,0
56,3.25,15,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.178655028,9,0
57,3.400000095,16,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.223775506,1,1
58,10,8,13,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.302585125,169,0
59,21.62999916,18,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3.074081182,64,64
60,4.380000114,16,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.477048755,49,0
61,11.71000004,13,40,20,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.460443258,1600,400
62,12.39000034,14,42,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.516889811,1764,25
